original_path,matched_product_name,destination_folder,new_filename,confidence_score,action_taken,notes
D:\Clients\Tresglam\app\public/images\logo.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.20,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\poster-greentea.png,tresglam-green-tea-tanning-whitening-glowing-face-wash,D:\Clients\Tresglam\app\public/images\tresglam-green-tea-tanning-whitening-glowing-face-wash,tresglam-green-tea-tanning-whitening-glowing-face-wash-poster-01.png,3.20,dry-run,greentea
D:\Clients\Tresglam\app\public/images\poster-herbelsunblock.png,tresglam-herbal-sunblock-oil-free-cream-spf-30,D:\Clients\Tresglam\app\public/images\tresglam-herbal-sunblock-oil-free-cream-spf-30,tresglam-herbal-sunblock-oil-free-cream-spf-30-poster-01.png,3.20,dry-run,sunblock
D:\Clients\Tresglam\app\public/images\poster-kiwi.png,tresglam-herbal-kiwi-super-pigmentation-cream,D:\Clients\Tresglam\app\public/images\tresglam-herbal-kiwi-super-pigmentation-cream,tresglam-herbal-kiwi-super-pigmentation-cream-poster-01.png,3.20,dry-run,"kiwi pigmentation,kiwi cream,super pigmentation kiwi"
D:\Clients\Tresglam\app\public/images\poster-kiwifacewash.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.20,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\poster-pinkishglow.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.20,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\poster-vitaminc-antiaging.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.30,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\poster2-pinkishglow.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.30,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\TresGlam grean tea tanning face wash.png,tresglam-green-tea-tanning-whitening-glowing-face-wash,D:\Clients\Tresglam\app\public/images\tresglam-green-tea-tanning-whitening-glowing-face-wash,tresglam-green-tea-tanning-whitening-glowing-face-wash-01.png,4.40,dry-run,"green tea,tanning"
D:\Clients\Tresglam\app\public/images\TresGlam herbal anti aging.png,tresglam-herbal-anti-aging-natural-cream,D:\Clients\Tresglam\app\public/images\tresglam-herbal-anti-aging-natural-cream,tresglam-herbal-anti-aging-natural-cream-01.png,6.30,dry-run,"anti aging,anti-aging"
D:\Clients\Tresglam\app\public/images\TresGlam herbal avacado.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.20,dry-run,low confidence
D:\Clients\Tresglam\app\public/images\TresGlam herbal kiwi.png,tresglam-herbal-kiwi-super-pigmentation-cream,D:\Clients\Tresglam\app\public/images\tresglam-herbal-kiwi-super-pigmentation-cream,tresglam-herbal-kiwi-super-pigmentation-cream-01.png,3.20,dry-run,"kiwi pigmentation,kiwi cream,super pigmentation kiwi"
D:\Clients\Tresglam\app\public/images\TresGlam Herbal Sunblock.png,tresglam-herbal-sunblock-oil-free-cream-spf-30,D:\Clients\Tresglam\app\public/images\tresglam-herbal-sunblock-oil-free-cream-spf-30,tresglam-herbal-sunblock-oil-free-cream-spf-30-01.png,4.20,dry-run,"sunblock,oil free sunblock"
D:\Clients\Tresglam\app\public/images\TresGlam herbeal lemon Super Pigmentation Cream.png,tresglam-herbal-lemon-super-pigmentation-cream,D:\Clients\Tresglam\app\public/images\tresglam-herbal-lemon-super-pigmentation-cream,tresglam-herbal-lemon-super-pigmentation-cream-01.png,5.50,dry-run,"lemon pigmentation,lemon cream,super pigmentation lemon"
D:\Clients\Tresglam\app\public/images\TresGlam kiwi glowing face wash.png,tresglam-herbal-kiwi-super-pigmentation-cream,D:\Clients\Tresglam\app\public/images\tresglam-herbal-kiwi-super-pigmentation-cream,tresglam-herbal-kiwi-super-pigmentation-cream-02.png,3.30,dry-run,"kiwi pigmentation,kiwi cream,super pigmentation kiwi"
D:\Clients\Tresglam\app\public/images\TresGlam snow white.png,tresglam-snow-white-night-use-cream,D:\Clients\Tresglam\app\public/images\tresglam-snow-white-night-use-cream,tresglam-snow-white-night-use-cream-01.png,3.30,dry-run,snow white
D:\Clients\Tresglam\app\public/images\TresGlam under eye.png,tresglam-basilque-organic-under-eye-cream,D:\Clients\Tresglam\app\public/images\tresglam-basilque-organic-under-eye-cream,tresglam-basilque-organic-under-eye-cream-01.png,4.30,dry-run,"under eye,eye bags"
D:\Clients\Tresglam\app\public/images\TresGlam vitamin c.png,,D:\Clients\Tresglam\app\public/images\_needs_review,needs-review.png,0.30,dry-run,low confidence
